seed,stimulus,P026,P088,P4026A,P902,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
610380954,JMP,6,7,6,2,6,6,7,6,6,6,6,7,6,6,6,6,6,7,7,7,2,7,5,2,4,1,5,3,2,4,5,1
1872104363,Tableau,6,7,6,2,7,7,6,6,7,6,7,7,6,7,6,7,7,6,6,6,7,7,4,4,5,5,4,4,5,4,4,5
1611042404,Tableau,5,5,5,2,5,6,5,5,6,6,6,5,7,6,6,5,5,5,4,6,5,5,3,3,4,2,4,2,3,2,3,2
146944878,Tableau,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,4,2,5,1,4,1,4,1,5,2
1281578755,Tableau,6,6,6,2,7,6,6,6,7,7,6,6,6,7,6,6,6,6,5,6,5,5,4,2,4,2,4,2,4,2,4,2
1578823638,Data Studio,6,6,6,2,6,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,4,4,4,2,4,2,4,2,4,2,4,2
1521919132,Data Studio,5,5,5,2,5,5,6,5,6,6,5,6,5,6,5,5,5,5,5,5,5,5,4,2,4,2,4,2,4,2,4,2
221351431,Gephi,5,5,6,2,4,4,5,5,5,5,5,6,6,6,5,3,5,4,6,5,6,6,3,4,3,3,4,2,3,3,3,4
109466946,Data Studio,6,6,7,2,5,7,6,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,5,1,5,1,5,1,4,1,4,1
851076119,Tableau,5,6,3,2,7,6,6,7,7,7,6,6,5,7,7,6,7,5,4,6,5,6,5,3,4,2,4,1,3,2,5,3
1624392644,Tableau,6,7,6,2,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,6,5,5,5,2,4,2,4,2,4,3,4,2
487151470,Tableau,5,5,5,2,6,5,6,6,6,6,6,6,7,6,5,3,5,4,7,7,5,7,3,3,2,2,3,4,2,3,2,4
1654421527,Talend,6,6,3,2,4,3,5,6,5,6,6,7,6,7,6,6,5,6,6,6,5,5,3,2,4,2,4,2,4,2,4,2
865736672,JMP,5,5,6,2,6,5,6,5,6,7,7,7,6,7,6,6,5,5,6,6,5,5,4,3,4,5,4,3,3,4,4,4
1725773382,Tableau,6,6,5,2,6,6,6,6,6,7,6,6,5,7,6,6,6,6,5,6,5,5,4,2,4,2,4,2,4,2,4,2
1201204871,zerodha,6,6,6,2,7,6,6,7,7,7,7,6,7,7,6,6,7,6,5,6,5,5,5,2,4,1,4,2,4,2,5,3
216971323,Data Studio,6,6,6,2,6,6,6,6,6,6,6,6,6,6,7,7,7,7,5,7,6,5,5,2,4,2,3,2,5,2,5,3
1801263926,Data Studio,6,6,6,2,6,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,6,6,4,2,4,4,4,1,4,1,5,3
1896443942,Tableau,5,6,6,2,6,6,6,7,7,7,6,7,6,6,7,4,5,4,6,6,5,5,3,2,3,2,3,1,2,2,3,4
1635515593,Tableau,6,6,7,2,6,5,7,7,6,6,7,7,5,6,6,7,6,6,5,6,5,5,4,2,4,3,4,1,4,3,4,3
